,TRACT,Cluster
1,53033990100,0
2,53033032800,2
3,53033032704,4
4,53033032703,4
5,53033032702,4
6,53033032602,4
7,53033032601,4
8,53033032500,3
9,53033032402,3
10,53033032401,3
11,53033032329,5
12,53033032328,5
13,53033032327,5
14,53033032326,5
15,53033032325,5
16,53033032324,5
17,53033032323,5
18,53033032322,5
19,53033032321,5
20,53033032320,5
21,53033032319,5
22,53033032318,4
23,53033032317,4
24,53033032316,0
25,53033032315,5
26,53033032313,5
27,53033032311,5
28,53033032309,5
29,53033032307,5
30,53033032215,4
31,53033032214,4
32,53033032213,4
33,53033032212,4
34,53033032211,4
35,53033032210,4
36,53033032208,4
37,53033032207,4
38,53033032203,4
39,53033032104,9
40,53033032103,4
41,53033032102,4
42,53033032011,10
43,53033032010,10
44,53033032008,10
45,53033032007,10
46,53033032006,10
47,53033032005,10
48,53033032003,10
49,53033032002,10
50,53033031909,9
51,53033031908,9
52,53033031907,9
53,53033031906,9
54,53033031904,9
55,53033031903,9
56,53033031800,9
57,53033031706,8
58,53033031705,10
59,53033031704,8
60,53033031703,8
61,53033031605,10
62,53033031604,10
63,53033031603,10
64,53033031601,10
65,53033031502,10
66,53033031501,10
67,53033031400,1
68,53033031302,1
69,53033031301,1
70,53033031206,8
71,53033031205,8
72,53033031204,10
73,53033031202,8
74,53033031100,8
75,53033031000,8
76,53033030902,6
77,53033030901,6
78,53033030802,8
79,53033030801,8
80,53033030700,8
81,53033030600,8
82,53033030504,8
83,53033030503,8
84,53033030501,8
85,53033030404,6
86,53033030403,6
87,53033030401,6
88,53033030314,6
89,53033030313,6
90,53033030312,6
91,53033030311,6
92,53033030310,6
93,53033030309,6
94,53033030308,6
95,53033030306,6
96,53033030305,6
97,53033030304,6
98,53033030202,6
99,53033030201,6
100,53033030100,6
101,53033030006,6
102,53033030005,6
103,53033030004,11
104,53033030003,11
105,53033029902,6
106,53033029901,6
107,53033029802,11
108,53033029801,11
109,53033029700,11
110,53033029602,8
111,53033029601,8
112,53033029504,11
113,53033029503,11
114,53033029502,8
115,53033029408,11
116,53033029407,11
117,53033029406,11
118,53033029405,9
119,53033029403,11
120,53033029307,9
121,53033029306,9
122,53033029305,9
123,53033029304,9
124,53033029303,9
125,53033029206,11
126,53033029205,11
127,53033029204,11
128,53033029203,11
129,53033029102,11
130,53033029101,11
131,53033029004,11
132,53033029003,11
133,53033029001,11
134,53033028902,11
135,53033028901,11
136,53033028802,11
137,53033028801,11
138,53033028700,11
139,53033028600,11
140,53033028500,11
141,53033028403,11
142,53033028402,7
143,53033028300,11
144,53033028200,7
145,53033028100,7
146,53033028000,7
147,53033027900,7
148,53033027800,7
149,53033027702,7
150,53033027701,7
151,53033027600,7
152,53033027500,7
153,53033027400,7
154,53033027300,7
155,53033027200,7
156,53033027100,7
157,53033027000,7
158,53033026802,7
159,53033026801,7
160,53033026700,7
161,53033026600,7
162,53033026500,7
163,53033026400,7
164,53033026300,7
165,53033026200,7
166,53033026100,7
167,53033026002,9
168,53033026001,9
169,53033025806,9
170,53033025805,9
171,53033025804,9
172,53033025803,9
173,53033025702,9
174,53033025701,9
175,53033025602,9
176,53033025601,9
177,53033025500,9
178,53033025400,9
179,53033025302,9
180,53033025301,9
181,53033025200,9
182,53033025102,9
183,53033025101,9
184,53033025006,9
185,53033025005,9
186,53033025003,0
187,53033025001,9
188,53033024903,0
189,53033024902,0
190,53033024901,0
191,53033024800,0
192,53033024702,9
193,53033024701,0
194,53033024602,7
195,53033024601,7
196,53033024500,0
197,53033024400,0
198,53033024300,2
199,53033024200,0
200,53033024100,0
201,53033024000,0
202,53033023900,0
203,53033023804,0
204,53033023803,0
205,53033023801,0
206,53033023700,0
207,53033023604,0
208,53033023603,0
209,53033023601,0
210,53033023500,0
211,53033023404,0
212,53033023403,0
213,53033023401,0
214,53033023300,0
215,53033023202,0
216,53033023201,0
217,53033023100,0
218,53033023000,0
219,53033022902,0
220,53033022901,0
221,53033022803,0
222,53033022802,5
223,53033022801,0
224,53033022703,0
225,53033022702,0
226,53033022701,0
227,53033022606,5
228,53033022605,5
229,53033022604,5
230,53033022603,5
231,53033022500,5
232,53033022400,5
233,53033022300,2
234,53033022203,5
235,53033022202,5
236,53033022201,5
237,53033022102,5
238,53033022101,2
239,53033022006,5
240,53033022005,5
241,53033022003,5
242,53033022001,5
243,53033021906,5
244,53033021905,5
245,53033021904,5
246,53033021903,5
247,53033021804,5
248,53033021803,5
249,53033021802,5
250,53033021700,5
251,53033021600,2
252,53033021500,2
253,53033021400,2
254,53033021300,2
255,53033021100,2
256,53033021000,2
257,53033020900,2
258,53033020800,2
259,53033020700,2
260,53033020600,2
261,53033020500,2
262,53033020402,2
263,53033020401,2
264,53033020300,2
265,53033020200,2
266,53033020100,2
267,53033012100,7
268,53033012000,7
269,53033011900,7
270,53033011800,7
271,53033011700,7
272,53033011600,7
273,53033011500,7
274,53033011402,7
275,53033011401,7
276,53033011300,7
277,53033011200,7
278,53033011102,7
279,53033011101,7
280,53033011002,7
281,53033011001,7
282,53033010900,7
283,53033010800,7
284,53033010702,7
285,53033010701,7
286,53033010600,7
287,53033010500,7
288,53033010402,7
289,53033010401,7
290,53033010300,7
291,53033010200,7
292,53033010100,7
293,53033010002,2
294,53033010001,7
295,53033009900,7
296,53033009800,7
297,53033009702,7
298,53033009701,7
299,53033009600,7
300,53033009500,2
301,53033009400,2
302,53033009300,2
303,53033009200,2
304,53033009100,2
305,53033009000,2
306,53033008900,2
307,53033008800,2
308,53033008700,2
309,53033008600,2
310,53033008500,2
311,53033008400,2
312,53033008300,2
313,53033008200,2
314,53033008100,2
315,53033008002,2
316,53033008001,2
317,53033007900,2
318,53033007800,2
319,53033007700,2
320,53033007600,2
321,53033007500,2
322,53033007402,2
323,53033007401,2
324,53033007300,2
325,53033007200,2
326,53033007100,2
327,53033007000,2
328,53033006900,2
329,53033006800,2
330,53033006700,2
331,53033006600,2
332,53033006500,2
333,53033006400,2
334,53033006300,2
335,53033006200,2
336,53033006100,2
337,53033006000,2
338,53033005900,2
339,53033005802,2
340,53033005801,2
341,53033005700,2
342,53033005600,2
343,53033005400,2
344,53033005302,2
345,53033005301,2
346,53033005200,2
347,53033005100,2
348,53033005000,2
349,53033004900,2
350,53033004800,2
351,53033004700,2
352,53033004600,2
353,53033004500,2
354,53033004400,2
355,53033004302,2
356,53033004301,2
357,53033004200,2
358,53033004100,2
359,53033004000,2
360,53033003900,2
361,53033003800,2
362,53033003600,2
363,53033003500,2
364,53033003400,2
365,53033003300,2
366,53033003200,2
367,53033003100,2
368,53033003000,2
369,53033002900,2
370,53033002800,2
371,53033002700,2
372,53033002600,2
373,53033002500,2
374,53033002400,2
375,53033002200,2
376,53033002100,2
377,53033002000,2
378,53033001900,2
379,53033001800,2
380,53033001702,2
381,53033001701,2
382,53033001600,2
383,53033001500,2
384,53033001400,2
385,53033001300,2
386,53033001200,2
387,53033001100,2
388,53033001000,2
389,53033000900,2
390,53033000800,2
391,53033000700,2
392,53033000600,2
393,53033000500,2
394,53033000402,2
395,53033000401,2
396,53033000300,2
397,53033000200,2
398,53033000100,2
