,TRACT,centroid_x,centroid_y
0,53033022006,1304112.984,259906.5869
1,53033032320,1322870.05,278064.5694
2,53033031703,1314367.393,138438.4035
3,53033031206,1305361.021,116814.7546
4,53033032102,1360117.026,181226.2863
5,53033032210,1361330.626,203688.5724
6,53033032211,1347703.193,213757.268
7,53033032104,1338931.077,186645.5994
8,53033032313,1331072.165,246766.2929
9,53033032203,1336146.927,221327.3541
10,53033032703,1396936.39,190042.2271
11,53033032704,1408795.747,180945.4363
12,53033027300,1277692.36,178432.7489
13,53033027200,1282471.479,181115.8628
14,53033027100,1277877.354,182936.3553
15,53033027000,1272233.206,184947.9477
16,53033026802,1267067.317,185206.6074
17,53033026801,1267134.681,188693.4119
18,53033026700,1262171.568,185181.6314
19,53033026600,1262351.189,190829.8818
20,53033000800,1282788.364,262817.9946
21,53033000700,1278934.84,264511.0329
22,53033000600,1271402.563,265468.9438
23,53033000500,1262049.76,267303.3599
24,53033000402,1266513.348,265178.7015
25,53033000401,1266525.2,269587.6588
26,53033000300,1271395.838,270068.8342
27,53033000200,1277009.766,268543.1049
28,53033000100,1283803.702,268273.1724
29,53033990100,1249448.79,190285.9868
30,53033032500,1395685.342,258164.5107
31,53033031907,1319497.595,168058.1914
32,53033031800,1321175.737,151322.2878
33,53033032002,1343822.563,160068.6681
34,53033032003,1372243.564,156773.8437
35,53033031704,1315970.292,130535.4579
36,53033032005,1330270.938,137776.8451
37,53033032006,1331145.115,130390.5338
38,53033032207,1337696.593,214546.7158
39,53033021803,1300774.638,281883.4951
40,53033032602,1382393.748,196820.3605
41,53033032702,1459185.964,162224.2044
42,53033032800,1485109.867,235772.6332
43,53033026500,1268726.534,190688.2625
44,53033026400,1275035.953,189608.9653
45,53033026300,1280628.635,189462.5133
46,53033026200,1291639.641,171204.5639
47,53033026100,1290157.904,181817.0044
48,53033026001,1293648.01,185191.9066
49,53033021500,1285860.778,282328.4861
50,53033021400,1281866.648,278293.0947
51,53033021300,1282768.274,273337.3012
52,53033001702,1263515.253,257818.2759
53,53033004302,1278153.617,245938.2226
54,53033004301,1279017.01,247622.2606
55,53033007402,1272698.493,229268.2111
56,53033010002,1276064.172,213814.0139
57,53033010001,1277125.814,210661.2577
58,53033011002,1278444.457,200574.4164
59,53033010402,1275743.554,205505.1362
60,53033010702,1260186.922,203262.2364
61,53033011402,1262072.562,193688.2231
62,53033022605,1314746.782,255024.7665
63,53033022902,1328092.964,235697.7856
64,53033024602,1295815.38,197004.3777
65,53033025803,1307617.244,167198.4759
66,53033031601,1329287.763,122861.7731
67,53033031603,1353270.817,119294.0734
68,53033032103,1340204.489,199005.3603
69,53033025001,1310385.923,199043.608
70,53033032401,1366796.12,274158.5726
71,53033032402,1365104.728,258785.3882
72,53033031501,1380346.586,118854.4153
73,53033021100,1276400.925,273868.7198
74,53033021000,1271084.456,274044.8847
75,53033020900,1263671.351,274729.6528
76,53033020800,1262057.71,280371.9385
77,53033020700,1268036.672,279488.6764
78,53033020600,1271779.3,279363.5123
79,53033020500,1276280.096,279360.6946
80,53033011401,1262779.715,196972.5378
81,53033025302,1298823.545,183497.2545
82,53033025806,1299917.739,168885.9388
83,53033027701,1234302.819,169536.49
84,53033032326,1335677.908,264097.0533
85,53033032327,1343282.951,261358.3549
86,53033023404,1330995.127,209483.123
87,53033023403,1324554.814,214434.8636
88,53033023804,1303721.027,226693.1678
89,53033023201,1318779.018,228374.9602
90,53033023900,1302997.585,215670.4906
91,53033032322,1329211.247,267381.3598
92,53033032321,1322153.384,264549.9399
93,53033021804,1305221.572,282273.7683
94,53033022101,1290412.228,274341.7279
95,53033025003,1325664.216,205682.5481
96,53033022701,1302179.852,241549.769
97,53033032008,1338416.967,136348.4811
98,53033032208,1341012.808,207363.3297
99,53033020402,1280498.465,284116.8222
100,53033020401,1274972.133,284699.5048
101,53033020300,1269798.54,284684.8153
102,53033020200,1264205.232,285221.1388
103,53033020100,1258329.664,285019.5266
104,53033012100,1256443.307,188736.0287
105,53033023803,1303909.505,228869.1813
106,53033025006,1327810.594,194776.3214
107,53033025005,1315976.523,196346.4441
108,53033025602,1315104.177,177037.2335
109,53033029206,1291266.282,153920.6646
110,53033029102,1280997.125,141974.7988
111,53033029101,1282003.29,147983.2157
112,53033030006,1275578.192,121128.4465
113,53033030314,1270685.003,115965.935
114,53033030313,1273044.887,113055.0872
115,53033031605,1340417.546,119348.5848
116,53033024100,1298404.854,236365.3134
117,53033022703,1309580.272,242646.1622
118,53033024200,1293607.337,233700.964
119,53033022203,1297552.896,261315.545
120,53033024800,1314912.322,212310.5849
121,53033024902,1319393.587,208942.9821
122,53033024903,1317442.09,203678.9231
123,53033025102,1317247.246,184437.5554
124,53033031903,1324529.682,178507.3641
125,53033031904,1336322.581,171975.0277
126,53033031906,1327558.73,164626.271
127,53033031301,1336907.803,78670.31171
128,53033031100,1303871.581,109065.2373
129,53033031000,1303910.443,100636.5387
130,53033030902,1290102.382,100056.1836
131,53033030901,1288007.288,105647.9898
132,53033030802,1297817.811,107415.3957
133,53033030801,1292646.803,107846.7639
134,53033012000,1258049.475,190946.2143
135,53033011900,1289821.872,188702.1712
136,53033010900,1273321.846,201322.7814
137,53033010800,1265493.772,203598.8822
138,53033010600,1255463.752,203824.1602
139,53033010500,1257173.937,207203.3645
140,53033010300,1282556.807,205502.8148
141,53033031604,1342577.538,130260.321
142,53033032011,1342523.861,136977.2843
143,53033031706,1322259.147,135480.5837
144,53033032215,1356183.794,224783.5278
145,53033032329,1345737.374,251669.7958
146,53033032328,1341582.586,244622.0412
147,53033001701,1265844.349,257713.9905
148,53033007401,1272668.837,230787.8029
149,53033032317,1340915.019,231299.9417
150,53033032315,1358996.435,243169.7364
151,53033032319,1317162.067,279824.8987
152,53033021906,1312861.947,272975.0267
153,53033021905,1308753.559,273990.9795
154,53033032307,1331190.948,278435.5267
155,53033032311,1343847.233,277502.3308
156,53033032324,1323516.673,252708.6628
