,main_mode,weight
0,HOV,957.849541457229
1,SOV,957.849541457229
4,SOV,957.849541457229
5,HOV,957.849541457229
16,SOV,240.331865707671
17,SOV,240.331865707671
26,SOV,1516.358421125512
27,SOV,1193.914389047101
40,SOV,364.767554640041
45,SOV,742.553138818078
46,SOV,943.096687257997
75,SOV,3853.96766822653
97,SOV,2957.41233824563
98,SOV,2957.41233824563
110,SOV,1846.44302723317
111,Other,1846.44302723317
112,SOV,2345.11742144942
113,SOV,2345.11742144942
114,SOV,2345.11742144942
116,SOV,2345.11742144942
117,SOV,2345.11742144942
118,SOV,2345.11742144942
119,SOV,1846.44302723317
145,Transit,595.244708392747
146,Transit,595.244708392747
155,Transit,944.273085035229
156,Other,1199.295743037445
157,Walk,1199.295743037445
160,Walk,944.273085035229
161,Transit,0.0
162,SOV,0.0
163,SOV,249.0240488820069
167,SOV,341.162946968349
168,SOV,101.893385054421
169,SOV,101.893385054421
170,SOV,862.368702385771
171,HOV,1095.271198650541
188,SOV,2176.812015970264
189,SOV,2176.812015970264
207,Other,5628.99311080037
208,HOV,4432.02331137731
211,SOV,4910.252856672019
212,SOV,8543.83997060932
215,Walk,8543.83997060932
216,HOV,6727.046413640661
217,HOV,2525.08934858934
218,HOV,2525.08934858934
221,Walk,1375.5263177645902
222,Walk,1375.5263177645902
225,HOV,0.0
226,SOV,162.1826235495693
227,SOV,282.19776497625
228,SOV,282.19776497625
231,SOV,282.19776497625
232,SOV,282.19776497625
239,SOV,141.011193081081
240,SOV,111.026054322461
243,HOV,0.0
244,HOV,0.0
245,HOV,13310.184135973039
246,HOV,13310.184135973039
247,HOV,3518.69527243882
248,HOV,3518.69527243882
249,HOV,0.0
250,HOV,0.0
251,SOV,232.439193375896
252,SOV,295.214741951868
253,SOV,295.214741951868
254,SOV,232.439193375896
256,SOV,1769.654923318348
257,SOV,1017.043059378359
268,SOV,233.087783347866
269,SOV,233.087783347866
286,HOV,822.352349940712
289,HOV,822.352349940712
290,HOV,2478.03023936599
293,HOV,2478.03023936599
294,SOV,2478.03023936599
295,SOV,2478.03023936599
298,SOV,935.078036328675
299,SOV,736.2396033162561
300,HOV,273.730078503079
301,HOV,273.730078503079
304,HOV,5440.84472394186
305,HOV,6910.26994135681
326,HOV,477.088088019276
332,Bike,240.09643026252598
333,Transit,240.09643026252598
334,Transit,376.677182192631
335,Transit,376.677182192631
336,Transit,110.99320887082
337,Transit,110.99320887082
338,SOV,675.5128860231059
341,SOV,857.950672759272
342,SOV,857.950672759272
353,SOV,1837.690384700038
354,Transit,0.0
355,SOV,0.0
361,HOV,3488.479207387142
362,HOV,4430.62322690046
363,HOV,4430.62322690046
364,HOV,4430.62322690046
365,HOV,3488.479207387142
366,HOV,1285.44842480586
371,SOV,821.9603697829909
372,SOV,1043.949666731682
374,SOV,5320.44112243389
385,SOV,3296.61662794655
386,SOV,2595.61194269354
387,SOV,636.930623237444
388,SOV,636.930623237444
391,Transit,225.37074718753098
393,HOV,286.23729934766595
394,HOV,286.23729934766595
395,HOV,225.37074718753098
396,Transit,110.722770331561
398,HOV,140.626000275121
399,HOV,140.626000275121
400,HOV,110.722770331561
434,SOV,1822.27161102022
437,SOV,2944.80643407838
439,Walk,270.26154703092703
440,Walk,343.251891849499
461,HOV,16610.56582420305
462,HOV,21096.63104679805
465,SOV,16610.56582420305
466,SOV,16610.56582420305
468,HOV,21096.63104679805
469,HOV,16610.56582420305
470,HOV,4038.04274624803
471,HOV,5128.60903538071
472,HOV,5128.60903538071
473,HOV,5128.60903538071
474,SOV,9880.31732561734
475,SOV,9880.31732561734
477,SOV,2921.74205295555
511,HOV,5150.37945899941
512,HOV,4055.18382691333
513,SOV,17672.20190800775
514,SOV,17672.20190800775
519,Other,2389.07716055319
522,Other,1104.77107010706
523,SOV,739.083385264169
524,SOV,739.083385264169
525,SOV,386.32878143466
526,SOV,386.32878143466
530,SOV,142.019209383199
532,SOV,1079.770825229281
533,SOV,1371.387763429889
534,SOV,1371.387763429889
536,SOV,1371.387763429889
537,SOV,1079.770825229281
538,SOV,111.81972233045
539,SOV,142.019209383199
540,SOV,142.019209383199
541,SOV,142.019209383199
551,HOV,0.0
552,HOV,0.0
554,Walk,809.319976795857
555,Walk,809.319976795857
569,SOV,832.910383631243
570,SOV,832.910383631243
585,SOV,287.762701215
586,SOV,226.57178199112002
587,SOV,674.100399641011
588,SOV,856.156711952817
600,HOV,1916.130447824035
601,HOV,1916.130447824035
611,HOV,0.0
613,SOV,666.233202521626
614,Walk,3203.4758723317
625,SOV,1107.304746516099
626,Walk,1926.7102589380079
627,Walk,1926.7102589380079
652,SOV,243.91166383974797
653,Walk,309.785616847563
654,Walk,243.91166383974797
655,Walk,2595.61194269354
656,Walk,2595.61194269354
657,Walk,2595.61194269354
658,Walk,2595.61194269354
660,Transit,1108.25928443315
661,Transit,636.930623237444
662,Walk,872.594953835298
665,Walk,1108.25928443315
666,Walk,1108.25928443315
684,SOV,309.147505266558
686,SOV,243.409242652405
737,HOV,1224.21191248495
740,HOV,1224.21191248495
741,SOV,164.29057880265702
742,SOV,164.29057880265702
743,Walk,111.446289530668
744,Walk,141.544922469608
755,Transit,6928.9363141410995
757,SOV,2910.39359498948
758,SOV,2910.39359498948
769,SOV,169.6604218190182
771,SOV,232.43477789205502
772,SOV,232.43477789205502
785,SOV,4055.47801348057
786,HOV,4055.47801348057
787,HOV,4055.47801348057
788,Walk,243.409242652405
789,Transit,243.409242652405
800,Transit,2252.847263174197
801,Transit,2252.847263174197
802,Transit,2252.847263174197
813,Transit,2252.847263174197
814,Transit,2252.847263174197
816,SOV,2252.847263174197
818,SOV,2252.847263174197
819,Transit,2252.847263174197
820,SOV,2306.875133389386
821,SOV,2306.875133389386
822,SOV,1816.332719967508
823,Walk,3998.44341481169
833,Walk,534.562359013953
834,Walk,420.891052786848
856,HOV,4418.19770912672
857,HOV,5611.43358677408
858,HOV,849.4517358636019
