,o_tract10,d_tract10
5,53033000100,53033000700
66,53033000200,53033000700
114,53033000300,53033001200
131,53033000401,53033000600
221,53033000402,53033000401
261,53033000500,53033000401
283,53033000600,53033001200
351,53033000700,53033000100
451,53033000800,53033000700
468,53033000900,53033000700
478,53033001000,53033000700
501,53033001100,53033000700
516,53033001200,53033000600
635,53033001300,53033001200
707,53033001400,53033001702
742,53033001500,53033001600
773,53033001600,53033001500
831,53033001701,53033001800
898,53033001702,53033001400
948,53033001800,53033001701
1049,53033001900,53033001200
1148,53033002000,53033001900
1180,53033002100,53033002200
1218,53033002200,53033004301
1245,53033002400,53033002200
1274,53033002500,53033002600
1326,53033002600,53033003600
1414,53033002700,53033001800
1467,53033002800,53033001800
1515,53033002900,53033001701
1577,53033003000,53033004700
1635,53033003100,53033003200
1694,53033003200,53033004700
1775,53033003300,53033004700
1850,53033003400,53033004700
1893,53033003500,53033004700
1938,53033003600,53033002600
2043,53033003800,53033002600
2077,53033003900,53033004301
2107,53033004000,53033004100
2162,53033004100,53033004301
2230,53033004200,53033004301
2283,53033004301,53033004302
2385,53033004302,53033005302
2467,53033004400,53033005302
2538,53033004500,53033004600
2583,53033004600,53033003600
2649,53033004700,53033003300
2771,53033004800,53033004900
2852,53033004900,53033005400
2959,53033005000,53033005100
3041,53033005100,53033005000
3123,53033005200,53033005302
3233,53033005301,53033005200
3341,53033005302,53033005301
3477,53033005400,53033004900
3555,53033005600,53033005700
3588,53033005700,53033005801
3626,53033005801,53033004700
3679,53033005802,53033004700
3748,53033005900,53033004700
3814,53033006000,53033005900
3878,53033006100,53033006600
3957,53033006200,53033007900
3993,53033006300,53033006200
4039,53033006400,53033007600
4091,53033006500,53033007500
4157,53033006600,53033006100
4277,53033006700,53033007200
4364,53033006800,53033007000
4398,53033006900,53033007000
4448,53033007000,53033007100
4547,53033007100,53033007000
4681,53033007200,53033007300
4830,53033007300,53033007200
4979,53033007401,53033007402
5071,53033007402,53033007500
5191,53033007500,53033008400
5301,53033007600,53033007500
5385,53033007700,53033007900
5437,53033007800,53033009500
5481,53033007900,53033007500
5586,53033008001,53033008100
5701,53033008002,53033008100
5826,53033008100,53033008200
6013,53033008200,53033008100
6132,53033008300,53033008100
6229,53033008400,53033007500
6350,53033008500,53033008100
6454,53033008600,53033007500
6561,53033008700,53033009000
6637,53033008800,53033007800
6710,53033008900,53033009500
6776,53033009000,53033008700
6878,53033009100,53033009300
6969,53033009200,53033008100
7084,53033009300,53033008100
7257,53033009400,53033009300
7365,53033009500,53033010100
7459,53033009600,53033009800
7506,53033009701,53033010600
7522,53033009702,53033009800
7580,53033009800,53033010500
7667,53033009900,53033010500
7744,53033010001,53033009500
7817,53033010002,53033009300
7889,53033010100,53033010300
7947,53033010200,53033010300
8026,53033010300,53033010100
8117,53033010401,53033011001
8152,53033010402,53033010001
8198,53033010500,53033009800
8285,53033010600,53033010500
8344,53033010701,53033010600
8373,53033010702,53033010600
8401,53033010800,53033009800
8465,53033010900,53033009300
8554,53033011001,53033011101
8599,53033011002,53033011001
8627,53033011101,53033011001
8657,53033011102,53033010300
8690,53033011200,53033008100
8774,53033011300,53033011402
8816,53033011401,53033011402
8873,53033011402,53033011401
8929,53033011500,53033011402
8956,53033011600,53033010600
8998,53033011700,53033011800
9037,53033011800,53033009300
9104,53033011900,53033025302
9125,53033012000,53033010600
9143,53033012100,53033026600
9149,53033020100,53033020401
9168,53033020200,53033020600
9223,53033020300,53033020700
9248,53033020401,53033020500
9270,53033020402,53033021500
9291,53033020500,53033020401
9322,53033020600,53033020700
9362,53033020700,53033020300
9382,53033020800,53033020200
9390,53033020900,53033000401
9424,53033021000,53033000401
9463,53033021100,53033000401
9499,53033021300,53033001000
9546,53033021400,53033021500
9566,53033021500,53033020402
9594,53033021600,53033021700
9621,53033021700,53033021500
9671,53033021802,53033032319
9680,53033021803,53033021500
9729,53033021804,53033032319
9756,53033021903,53033022005
9804,53033021904,53033021906
9824,53033021905,53033021906
9842,53033021906,53033021904
