,person_dim_id,vehicle_count,hhincome_broad,car_share,numadults,numchildren,age_category,gender,employment,education,license,o_tract10
0,1710000501,2 vehicles,"$75,000-$99,999",No,2,0,18-64 years,Female,Self-employed,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032323.0
1,1710000502,2 vehicles,"$75,000-$99,999",No,2,0,65 years+,Male,Retired,Some college,"Yes, has an intermediate or unrestricted license",53033032323.0
2,1710002401,1 vehicle,"$75,000-$99,999",Yes,2,1,18-64 years,Another,"Employed part time (fewer than 35 hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033007600.0
3,1710002402,1 vehicle,"$75,000-$99,999",Yes,2,1,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033007600.0
4,1710002403,1 vehicle,"$75,000-$99,999",Yes,2,1,Under 18 years,Unknown,Unknown,Unknown,Unknown,53033007600.0
5,1710005201,0 (no vehicles),"Under $25,000",No,1,0,65 years+,Female,Self-employed,Graduate/post-graduate degree,"No, does not have a license or permit",53033007500.0
6,1710005901,0 (no vehicles),"$100,000 or more",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has a learner’s permit",53033008400.0
7,1710006001,1 vehicle,"Under $25,000",No,1,0,65 years+,Male,Retired,Some college,"Yes, has an intermediate or unrestricted license",53053072000.0
8,1710010201,1 vehicle,"$75,000-$99,999",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033007500.0
9,1710010801,1 vehicle,"$100,000 or more",Yes,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033008002.0
10,1710010802,1 vehicle,"$100,000 or more",Yes,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033008002.0
11,1710011101,3 vehicles,"$100,000 or more",No,2,2,18-64 years,Female,"Employed part time (fewer than 35 hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033002600.0
12,1710011102,3 vehicles,"$100,000 or more",No,2,2,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033002600.0
13,1710011103,3 vehicles,"$100,000 or more",No,2,2,Under 18 years,Male,Unknown,Unknown,"Yes, has an intermediate or unrestricted license",53033002600.0
14,1710011104,3 vehicles,"$100,000 or more",No,2,2,Under 18 years,Male,Unknown,Unknown,Unknown,53033002600.0
15,1710013701,1 vehicle,"Under $25,000",No,1,0,18-64 years,Female,"Employed part time (fewer than 35 hours/week, paid)",Vocational/technical training,"Yes, has an intermediate or unrestricted license",53033008400.0
16,1710014901,2 vehicles,"$100,000 or more",Yes,2,2,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Associates degree,"Yes, has an intermediate or unrestricted license",53033024800.0
17,1710014902,2 vehicles,"$100,000 or more",Yes,2,2,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033024800.0
18,1710014903,2 vehicles,"$100,000 or more",Yes,2,2,Under 18 years,Male,Unknown,Unknown,"No, does not have a license or permit",53033024800.0
19,1710014904,2 vehicles,"$100,000 or more",Yes,2,2,Under 18 years,Male,Unknown,Unknown,Unknown,53033024800.0
20,1710017901,2 vehicles,"$100,000 or more",No,2,1,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033005400.0
21,1710017902,2 vehicles,"$100,000 or more",No,2,1,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033005400.0
22,1710017903,2 vehicles,"$100,000 or more",No,2,1,Under 18 years,Female,Unknown,Unknown,"Yes, has an intermediate or unrestricted license",53033005400.0
23,1710020301,2 vehicles,"$100,000 or more",No,2,2,18-64 years,Female,Homemaker,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032309.0
24,1710020302,2 vehicles,"$100,000 or more",No,2,2,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032309.0
25,1710020303,2 vehicles,"$100,000 or more",No,2,2,Under 18 years,Male,Unknown,Unknown,Unknown,53033032309.0
26,1710020304,2 vehicles,"$100,000 or more",No,2,2,Under 18 years,Female,Unknown,Unknown,Unknown,53033032309.0
27,1710020801,2 vehicles,"$50,000-$74,999",No,2,1,18-64 years,Female,"Employed part time (fewer than 35 hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033010002.0
28,1710020802,2 vehicles,"$50,000-$74,999",No,2,1,18-64 years,Male,Self-employed,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033010002.0
29,1710020803,2 vehicles,"$50,000-$74,999",No,2,1,Under 18 years,Female,Unknown,Unknown,Unknown,53033010002.0
30,1710022101,0 (no vehicles),"$100,000 or more",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Vocational/technical training,"Yes, has an intermediate or unrestricted license",53033007200.0
31,1710023101,2 vehicles,Unknown,No,2,0,65 years+,Male,Unpaid volunteer or intern,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032323.0
32,1710023102,2 vehicles,Unknown,No,2,0,65 years+,Female,Unpaid volunteer or intern,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032323.0
33,1710023301,3 vehicles,"$100,000 or more",No,2,0,65 years+,Male,Retired,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033029602.0
34,1710023302,3 vehicles,"$100,000 or more",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033029602.0
35,1710023801,2 vehicles,"$100,000 or more",No,2,0,65 years+,Male,Retired,Bachelor degree,"Yes, has an intermediate or unrestricted license",53035091000.0
36,1710023802,2 vehicles,"$100,000 or more",No,2,0,65 years+,Female,Retired,Bachelor degree,"Yes, has an intermediate or unrestricted license",53035091000.0
37,1710024801,0 (no vehicles),"$100,000 or more",Yes,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033007500.0
38,1710025501,1 vehicle,"$100,000 or more",No,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032309.0
39,1710028001,0 (no vehicles),"$25,000-$49,999",Yes,1,0,18-64 years,Female,Not currently employed,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033007000.0
40,1710029101,1 vehicle,"$25,000-$49,999",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Some college,"Yes, has an intermediate or unrestricted license",53053072000.0
41,1710030301,2 vehicles,"$50,000-$74,999",Yes,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Some college,"Yes, has an intermediate or unrestricted license",53033001200.0
42,1710030302,2 vehicles,"$50,000-$74,999",Yes,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Associates degree,"Yes, has an intermediate or unrestricted license",53033000402.0
43,1710032601,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Vocational/technical training,"Yes, has an intermediate or unrestricted license",53033005802.0
44,1710034201,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033000700.0
45,1710034202,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033005301.0
46,1710037201,1 vehicle,"$100,000 or more",Yes,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033007500.0
47,1710041001,0 (no vehicles),"$50,000-$74,999",Yes,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033007500.0
48,1710041101,0 (no vehicles),"$50,000-$74,999",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"No, does not have a license or permit",53033005301.0
49,1710041401,2 vehicles,"$100,000 or more",No,2,1,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033009900.0
50,1710041402,2 vehicles,"$100,000 or more",No,2,1,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033009900.0
51,1710041403,2 vehicles,"$100,000 or more",No,2,1,Under 18 years,Female,Unknown,Unknown,Unknown,53033009900.0
52,1710041801,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032309.0
53,1710044101,1 vehicle,"$100,000 or more",Yes,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033005802.0
54,1710044102,1 vehicle,"$100,000 or more",Yes,2,0,65 years+,Male,Retired,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033005802.0
55,1710045801,1 vehicle,Unknown,No,1,0,18-64 years,Male,Self-employed,Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032704.0
56,1710047701,1 vehicle,Unknown,No,2,2,18-64 years,Unknown,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032313.0
57,1710048201,1 vehicle,"$50,000-$74,999",No,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Associates degree,"Yes, has an intermediate or unrestricted license",53033005900.0
58,1710049201,1 vehicle,"Under $25,000",No,1,0,65 years+,Female,Self-employed,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033005802.0
59,1710050101,0 (no vehicles),"$50,000-$74,999",Yes,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033008100.0
60,1710056301,1 vehicle,"$50,000-$74,999",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033008900.0
61,1710056901,0 (no vehicles),"$50,000-$74,999",Yes,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033009200.0
62,1710059001,1 vehicle,"$50,000-$74,999",No,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033006600.0
63,1710062701,1 vehicle,"$50,000-$74,999",No,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53033005000.0
64,1710065201,1 vehicle,"$50,000-$74,999",No,2,1,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032309.0
65,1710065202,1 vehicle,"$50,000-$74,999",No,2,1,18-64 years,Female,Homemaker,Bachelor degree,"No, does not have a license or permit",53033032309.0
66,1710065203,1 vehicle,"$50,000-$74,999",No,2,1,Under 18 years,Female,Unknown,Unknown,Unknown,53033023700.0
67,1710065401,2 vehicles,Unknown,No,2,1,18-64 years,Female,Homemaker,Bachelor degree,"Yes, has an intermediate or unrestricted license",53033032321.0
68,1710065402,2 vehicles,Unknown,No,2,1,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032321.0
69,1710065403,2 vehicles,Unknown,No,2,1,Under 18 years,Female,Unknown,Unknown,Unknown,53033032321.0
70,1710066301,1 vehicle,"$100,000 or more",No,1,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033032309.0
71,1710067301,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033021903.0
72,1710067302,2 vehicles,"$100,000 or more",No,2,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033021903.0
73,1710067501,1 vehicle,"$100,000 or more",No,1,0,18-64 years,Female,"Employed full time (35+ hours/week, paid)",Bachelor degree,"Yes, has an intermediate or unrestricted license",53061051925.0
74,1710068101,1 vehicle,"$100,000 or more",No,2,0,18-64 years,Male,"Employed full time (35+ hours/week, paid)",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",53033001200.0
