,person_dim_id,21-5c,5-13c,13-21c,21-5s,5-13s,13-21s
0,1710000501,0,3,1,0,1,0
1,1710000502,0,2,0,0,1,0
2,1710002401,0,3,5,0,0,0
3,1710002402,0,3,1,0,0,0
4,1710002403,0,1,1,0,0,0
5,1710005201,0,0,3,0,0,2
6,1710005901,7,7,7,0,3,9
7,1710006001,0,4,0,0,1,0
8,1710010201,0,2,1,0,0,1
9,1710010801,0,1,1,0,0,0
10,1710010802,0,1,1,0,0,0
11,1710011101,0,3,3,0,0,0
12,1710011102,0,2,3,0,0,0
13,1710011103,0,0,0,0,3,1
14,1710011104,0,1,1,0,0,1
15,1710013701,0,3,1,0,0,0
16,1710014901,0,1,1,0,0,0
17,1710014902,0,1,1,0,0,0
18,1710014903,0,2,0,0,0,0
19,1710014904,0,0,0,0,1,1
20,1710017901,0,1,0,0,0,0
21,1710017902,0,1,0,0,0,0
22,1710017903,0,1,0,0,0,0
23,1710020301,0,2,2,0,0,0
24,1710020302,0,0,0,0,1,1
25,1710020303,0,1,1,0,0,0
26,1710020304,0,2,2,0,0,0
27,1710020801,1,4,5,0,0,0
28,1710020802,0,4,1,0,0,0
29,1710020803,0,1,1,0,0,0
30,1710022101,0,2,1,0,0,0
31,1710023101,0,0,2,0,1,0
32,1710023102,0,1,2,0,0,2
33,1710023301,0,11,5,0,0,0
34,1710023302,0,3,2,0,0,0
35,1710023801,0,0,3,0,0,0
36,1710023802,0,0,3,0,0,0
37,1710024801,3,14,18,0,5,2
38,1710025501,0,5,3,0,0,2
39,1710028001,0,0,2,0,0,2
40,1710029101,0,1,1,1,0,3
41,1710030301,3,17,43,0,3,4
42,1710030302,3,7,23,0,0,5
43,1710032601,0,1,1,0,0,2
44,1710034201,6,10,20,0,0,1
45,1710034202,8,13,16,0,1,2
46,1710037201,0,1,2,0,0,0
47,1710041001,2,6,12,0,0,6
48,1710041101,0,1,1,0,0,0
49,1710041401,0,2,3,0,0,0
50,1710041402,0,1,1,0,0,1
51,1710041403,0,1,1,0,0,0
52,1710041801,1,1,1,0,0,3
53,1710044101,1,1,1,0,0,0
54,1710044102,1,3,1,0,0,0
55,1710045801,0,2,6,0,1,0
56,1710047701,0,2,1,0,2,0
57,1710048201,0,1,2,0,0,0
58,1710049201,0,3,0,0,0,0
59,1710050101,3,6,12,0,3,0
60,1710056301,2,1,1,0,0,0
61,1710056901,0,1,1,0,0,0
62,1710059001,5,11,15,0,3,4
63,1710062701,1,3,2,0,0,2
64,1710065201,2,12,23,0,2,9
65,1710065202,0,3,9,0,2,9
66,1710065203,2,6,11,0,0,7
67,1710065401,0,6,23,0,0,1
68,1710065402,0,9,17,0,0,0
69,1710065403,0,7,18,0,0,1
70,1710066301,0,1,1,0,1,2
71,1710067301,0,1,1,0,0,0
72,1710067302,0,1,1,0,0,0
73,1710067501,0,9,18,0,3,1
74,1710068101,1,1,1,0,0,0
75,1710068102,0,1,1,0,0,0
76,1710071701,0,0,3,0,0,0
77,1710073901,0,1,5,0,0,1
78,1710073903,0,1,2,0,0,0
79,1710076001,0,5,3,0,0,0
80,1710076002,1,2,1,0,0,0
81,1710076003,0,1,2,0,0,0
82,1710076004,0,1,1,0,0,0
83,1710076101,0,3,2,0,6,5
84,1710076103,0,1,1,0,1,2
85,1710076104,0,1,1,0,0,2
86,1710078901,0,0,0,0,1,1
87,1710078903,0,0,0,0,1,1
88,1710079401,0,1,1,0,0,0
89,1710080001,0,3,1,0,0,1
90,1710080701,0,0,2,0,0,2
91,1710081801,2,9,21,0,0,1
92,1710082201,0,5,1,0,0,0
93,1710083401,1,10,16,0,0,1
94,1710083402,9,14,18,1,0,1
95,1710083601,0,1,1,0,0,0
96,1710083602,0,2,2,0,0,0
97,1710083603,0,1,1,0,0,0
98,1710083701,0,2,0,0,2,1
99,1710085901,1,4,3,0,0,0
100,1710085902,0,1,2,0,0,0
101,1710086801,2,8,10,0,3,0
102,1710086802,1,5,6,0,1,0
103,1710088901,0,1,3,0,0,1
104,1710089201,0,2,2,0,0,0
105,1710089202,0,1,1,0,0,0
106,1710090701,5,10,14,0,0,2
107,1710090801,0,1,1,0,0,0
108,1710092401,0,2,3,0,0,0
109,1710092402,0,0,2,0,0,0
110,1710092403,0,1,1,0,0,0
111,1710093901,0,1,3,0,0,0
112,1710093902,0,1,1,0,0,0
113,1710093903,0,0,1,0,0,0
114,1710093904,0,1,3,0,0,0
115,1710094201,2,14,17,0,1,5
116,1710095201,0,0,2,0,0,0
117,1710095701,0,3,3,4,0,1
118,1710095702,0,1,3,4,0,0
119,1710096401,0,6,12,2,1,14
120,1710096402,0,7,9,2,13,5
121,1710098201,0,2,0,0,0,2
122,1710098401,0,1,3,0,0,0
123,1710098402,0,2,0,0,0,2
124,1710098601,1,5,14,0,0,3
125,1710099201,0,0,0,0,1,1
126,1710101301,0,0,2,0,1,0
127,1710103101,0,3,2,1,0,2
128,1710103102,0,3,0,1,1,3
129,1710104201,0,1,9,0,0,1
130,1710106401,0,0,0,0,2,0
131,1710107901,0,1,3,0,0,0
132,1710108601,1,16,13,0,2,4
133,1710108602,0,12,12,0,4,1
134,1710108603,1,16,14,0,0,2
135,1710112801,0,1,1,0,0,0
136,1710112802,0,1,1,0,0,0
137,1710113001,1,13,24,0,4,6
138,1710117901,0,1,2,0,0,1
139,1710117902,1,1,2,0,0,0
140,1710121301,0,2,3,0,0,1
141,1710121302,1,0,1,0,2,0
142,1710122301,0,5,21,0,0,3
143,1710122302,0,8,3,0,1,3
144,1710122303,0,5,6,0,0,0
145,1710122304,0,3,5,0,0,0
146,1710122305,0,3,5,0,0,0
147,1710123601,0,5,2,0,0,0
148,1710124001,0,5,7,0,0,1
149,1710124002,0,7,3,0,1,0
150,1710125001,1,1,1,0,2,1
151,1710125002,0,1,1,0,0,2
152,1710126301,1,7,11,0,0,4
153,1710127501,0,3,2,0,1,0
154,1710129101,0,1,1,0,0,0
155,1710131901,0,1,1,0,0,0
156,1710132501,4,9,14,0,4,8
157,1710132502,0,0,7,0,6,6
158,1710133501,0,1,1,0,0,1
159,1710134401,0,0,3,0,0,1
160,1710137501,1,11,13,0,4,11
161,1710137502,0,14,7,0,9,6
162,1710137503,0,7,6,0,1,6
163,1710137504,0,11,10,0,4,7
164,1710137901,0,2,2,1,1,1
165,1710137903,0,1,1,0,0,0
166,1710137904,0,1,0,0,0,0
167,1710138501,0,5,0,0,0,0
168,1710139101,0,1,1,0,0,0
169,1710143601,0,2,0,0,0,0
170,1710143602,0,0,2,0,0,0
171,1710146901,0,1,1,0,0,0
172,1710146903,0,0,0,0,1,1
173,1710148901,1,0,1,0,0,0
174,1710148902,1,1,0,0,0,0
175,1710150401,0,2,1,0,0,3
176,1710150402,0,5,3,0,1,1
177,1710150403,0,1,1,0,0,0
178,1710150404,0,2,1,0,0,0
179,1710151701,0,1,1,0,0,0
180,1710151702,0,1,1,0,0,0
181,1710154501,0,2,3,0,1,3
182,1710154502,0,1,2,0,0,2
183,1710159201,0,2,0,0,0,0
184,1710159202,0,2,0,0,0,0
185,1710159203,0,2,0,0,0,0
186,1710159204,0,2,0,0,0,0
187,1710160601,0,1,1,0,0,0
188,1710160602,0,1,2,0,0,0
189,1710161701,0,1,1,0,0,1
190,1710161901,0,5,6,0,1,2
191,1710162601,1,12,20,0,0,3
192,1710162602,0,6,11,0,0,0
193,1710163501,1,0,1,0,0,0
194,1710165701,0,0,4,0,0,1
195,1710166701,1,0,6,0,3,2
196,1710166702,1,1,2,0,0,0
197,1710166703,1,1,2,0,0,0
198,1710166704,1,1,3,0,2,0
199,1710168101,0,3,1,2,2,0
200,1710168102,0,0,3,0,1,0
201,1710168103,0,1,2,0,1,0
202,1710168104,0,2,1,0,0,0
203,1710168105,0,2,1,0,0,0
204,1710169201,0,2,3,0,0,0
205,1710169202,0,1,3,0,0,0
206,1710169701,0,4,3,0,0,0
207,1710169702,0,1,1,0,1,1
208,1710169703,0,4,3,0,0,0
209,1710169704,0,1,1,0,0,0
210,1710169801,0,1,1,0,0,0
211,1710169802,0,0,2,0,0,0
212,1710170401,0,1,1,0,0,0
213,1710170402,0,1,1,0,0,0
214,1710172001,0,1,4,0,0,0
215,1710172002,0,1,4,0,0,0
216,1710174501,0,2,5,0,0,0
217,1710174502,0,1,4,0,0,0
218,1710174503,0,1,4,0,0,0
219,1710178501,0,0,2,0,0,0
220,1710179201,0,4,0,0,0,0
221,1710185201,0,1,3,0,0,4
222,1710185202,0,2,3,0,0,2
223,1710185301,0,1,1,0,0,0
224,1710185501,0,1,1,0,0,2
225,1710186701,0,2,3,0,0,1
226,1710187301,0,5,15,0,2,0
227,1710187302,1,7,5,0,2,1
228,1710188201,0,2,0,0,0,0
229,1710188601,0,6,8,0,0,1
230,1710189801,0,1,2,0,0,0
231,1710189802,1,1,2,0,0,0
232,1710190901,0,3,1,0,0,0
233,1710190902,0,5,5,0,0,0
234,1710190903,0,2,5,0,0,0
235,1710192201,0,3,1,0,0,4
236,1710192202,1,0,0,0,0,0
237,1710192801,1,1,3,0,0,0
238,1710192802,0,1,1,0,0,0
239,1710194401,0,1,1,0,0,0
240,1710194402,0,1,1,0,0,0
241,1710194701,0,13,30,0,2,3
242,1710194901,1,11,18,0,6,5
243,1710194902,1,15,26,0,2,5
244,1710195301,0,1,4,0,0,0
245,1710195302,0,1,1,0,0,0
246,1710195601,0,1,1,0,0,0
247,1710195602,0,1,1,0,0,0
248,1710198501,0,0,2,0,0,2
249,1710198502,0,0,2,0,0,2
250,1710198801,0,4,1,0,1,0
251,1710198802,0,3,3,0,0,0
252,1710198803,0,1,2,0,0,0
253,1710200301,0,3,3,0,0,1
254,1710206101,0,0,1,0,0,0
255,1710206102,0,1,3,0,1,0
256,1710210901,0,4,5,0,1,0
257,1710216601,0,2,2,0,2,0
258,1710216602,0,0,2,0,2,2
259,1710216603,0,0,0,0,1,1
260,1710216604,0,0,2,0,2,2
261,1710222701,12,10,25,1,1,3
262,1710225201,0,1,3,0,0,0
263,1710226901,6,7,19,0,0,2
264,1710226902,1,0,2,0,0,0
265,1710227301,0,1,1,0,0,1
266,1710227401,1,0,3,0,0,0
267,1710227402,1,1,2,0,0,0
268,1710227601,0,1,2,0,0,0
269,1710228001,0,1,1,0,0,2
270,1710228901,0,3,4,0,0,1
271,1710228902,0,1,1,0,0,0
272,1710228904,0,1,4,0,0,1
273,1710231301,0,0,0,0,0,2
274,1710237401,0,1,2,0,0,0
275,1710237402,1,1,0,0,0,0
276,1710238701,0,2,7,0,1,0
277,1710238702,0,1,4,0,0,0
278,1710239801,2,10,17,0,3,4
279,1710240801,0,5,14,0,0,3
280,1710240802,0,13,27,0,1,10
281,1710244901,1,4,1,0,0,0
282,1710244902,1,0,1,0,0,0
